pais,pibpercapita,coefgini,crescpop,urban,educ,idh,nivelidh,txfec,txmortinf,expvida_60,gastosaude,gastoeduc,fbkf,despconspublico,receitatrib,impostosk,endivpubl,indprecos,emissaoco2,cresc_florest,txpartft,txdesempr,desemp_jov,popencarc,txhomicidio,exp_imp,invdirestrang,txmigrliq,estoquemigr,internet,celular,benefprev,nivelidh_cod,idhmalto,idhalto,idhmedio,idhbaixo,logpibpc,pibpc2,logpibpercapita
Norway,62.448002,26.799999,1,80.199997,12.6,944,malto,1.9,2.3,24,9.6000004,6.5999999,22.6,21.9,27.299999,31.799999,87,104,9.1999998,11.9,64.900002,3.5,9.1999998,72,2.2,67,.5,6,13.8,96.300003,116.5,100,1,1,0,0,0,4.1343341,3899.7529,4.1343341
Australia,42.831001,34,1.3,89.599998,13,935,malto,1.9,3.4000001,25.1,9,5.0999999,28.299999,17.700001,21.4,65.300003,158.8,108,16.5,-4.5999999,65.199997,5.1999998,12.2,130,1.1,41,3.3,6.5,27.700001,84.599998,131.2,83,1,1,0,0,0,3.7572622,1834.4946,3.7572622
Switzerland,54.696999,32.400002,1,73.900002,12.8,930,malto,1.5,3.5999999,25,11.5,5.3000002,23.4,11,9.8000002,22.700001,173.39999,99,4.5999999,8.6000004,68.199997,4.4000001,8.5,82,.60000002,132.2,-1.2,8,28.9,87,140.5,100,1,1,0,0,0,4.0018086,2991.7617,4.0018086
Denmark,41.991001,26.9,.40000001,87.300003,12.7,923,malto,1.9,2.9000001,22.4,10.6,8.6999998,18.299999,26.700001,33.400002,39.700001,199.60001,106,7.1999998,23,62.5,7,12.6,73,.80000001,102.8,.5,2.7,9.8999996,96,126,100,1,1,0,0,0,3.7374554,1763.2441,3.7374554
Netherlands,44.945,28.9,.30000001,84.300003,11.9,922,malto,1.8,3.3,23.5,12.9,5.9000001,18.200001,26.299999,19.700001,23.5,193,107,10.1,5.9000001,64.400002,6.6999998,11,82,.89999998,155.60001,3.8,.60000002,11.7,93.199997,116.4,100,1,1,0,0,0,3.8054395,2020.053,3.8054395
Germany,43.207001,30.6,-.1,74.300003,13.1,916,malto,1.4,3.2,23.5,11.3,5,19.799999,19.299999,11.5,16.299999,113.5,106,8.8999996,3.3,59.900002,5.3000002,7.9000001,79,.80000001,85.300003,1.4,1.3,11.9,86.199997,120.4,100,1,1,0,0,0,3.7660027,1866.845,3.7660027
Ireland,44.931,32.099998,1.1,63.099998,12.2,916,malto,2,3.2,23.4,8.8999996,6.1999998,15.2,17.5,22,37.799999,186.10001,105,7.9000001,62.700001,60.5,13,26.799999,88,1.2,189.8,21.5,2.2,15.9,79.699997,104.3,90.5,1,1,0,0,0,3.8051279,2018.7948,3.8051279
United States,51.34,41.099998,.80000001,83.099998,12.9,915,malto,2,5.9000001,23.200001,17.1,5.1999998,19.299999,15.2,10.6,53.200001,240.5,107,17,3,62.5,8.1000004,13.4,716,4.6999998,30,1.8,3.0999999,14.3,87.400002,98.400002,92.5,1,1,0,0,0,3.9384701,2635.7957,3.9384701
Canada,41.894001,33.700001,1,81,13,913,malto,1.7,4.5999999,24.4,10.9,5.3000002,23.700001,21.700001,11.5,51.599998,173.10001,105,14.1,0,66.199997,7.1999998,13.5,118,1.6,61.900002,3.9000001,6.3000002,20.700001,87.099998,83,97.699997,1,1,0,0,0,3.7351427,1755.1073,3.7351427
Sweden,43.741001,26.1,.69999999,85.699997,12.1,907,malto,1.9,2.4000001,24.1,9.6999998,6.8000002,22.1,26.200001,20.700001,9.8000002,138.10001,104,5.5,4.0999999,64.099998,8,23.6,67,.69999999,82.699997,-.89999998,4.1999998,15.9,92.5,127.8,100,1,1,0,0,0,3.778286,1913.2751,3.778286
United Kingdom,37.016998,38,.60000002,80,13.1,907,malto,1.9,3.9000001,23.5,9.1000004,6,16.4,20.200001,25.299999,31.799999,184.10001,110,7.0999999,10.9,62.099998,7.6999998,20.9,147,1,61.599998,1.8,2.9000001,12.4,91.599998,123.6,99.5,1,1,0,0,0,3.6113772,1370.2582,3.6113772
Iceland,41.25,26.299999,1.1,94.099998,10.6,899,malto,2.0999999,1.6,24.299999,9.1000004,7.4000001,15.1,24.299999,22.299999,27.4,130.89999,114,5.9000001,264.39999,73.900002,5.4000001,10.7,47,.30000001,103.1,3.0999999,3.3,10.4,98.199997,111.1,100,1,1,0,0,0,3.7196512,1701.5625,3.7196512
Israel,30.927,42.799999,1.3,92.099998,12.5,894,malto,2.9000001,3.2,24.299999,7.1999998,5.5999999,19.5,22.5,22.1,27.9,81.400002,107,9,16.4,63.400002,6.9000001,10.5,223,1.8,64.5,4.0999999,-2,26.5,71.5,121.5,73.599998,1,1,0,0,0,3.4316297,956.47931,3.4316297
Japan,35.613998,32.099998,-.1,93,11.5,891,malto,1.4,2.0999999,26.1,10.3,3.8,21.700001,20.6,10.1,46,366.5,100,9.3000002,.2,59.200001,4.3000002,6.9000001,51,.30000001,35.099998,.1,.60000002,1.9,90.599998,120.2,80.300003,1,1,0,0,0,3.5727389,1268.3569,3.5727389
Belgium,40.606998,33.099998,.40000001,97.599998,11.3,890,malto,1.9,3.5,23.6,11.2,6.5,22.299999,24.4,24.9,35.200001,111.2,108,8.8000002,,53.299999,8.3999996,23.200001,108,1.6,164.2,-.60000002,2.7,10.4,85,114.3,84.599998,1,1,0,0,0,3.7039404,1648.9283,3.7039404
France,37.153999,31.700001,.5,87.400002,11.1,888,malto,2,3.5,25.1,11.7,5.6999998,22.1,24.1,21.4,24.6,130.8,105,5.1999998,10.4,55.900002,9.8999996,23.9,98,1,58,.2,2,11.6,83.800003,100.4,100,1,1,0,0,0,3.6150715,1380.4197,3.6150715
Austria,44.375999,30,.40000001,68.300003,10.8,885,malto,1.5,3.2,23.9,11,5.8000002,22.200001,19.799999,18.299999,23.700001,127.9,108,7.8000002,3.3,61,4.9000001,9.1999998,98,.89999998,103.4,3.5999999,3.5,15.7,81,151.89999,100,1,1,0,0,0,3.7926989,1969.2294,3.7926989
Finland,38.846001,27.799999,.30000001,84.099998,10.3,883,malto,1.9,2.0999999,23.799999,9.3999996,6.8000002,21.200001,24.9,20,14.8,104.9,108,10.2,1.5,59.799999,8.1999998,20,58,1.6,77.300003,-2,1.8,5.4000001,92.400002,139.7,100,1,1,0,0,0,3.659605,1509.0117,3.659605
Slovenia,27.576,24.9,.2,49.799999,11.9,880,malto,1.5,2.3,22.799999,9.1999998,5.6999998,19.700001,20.4,17.5,10.4,82.800003,106,7.5,5.8000002,57.700001,10.1,21.6,66,.69999999,143.39999,-.89999998,2.0999999,11.3,71.599998,112.1,95.099998,1,1,0,0,0,3.3169458,760.43579,3.3169458
Spain,31.596001,35.799999,.40000001,77.900002,9.6000004,876,malto,1.5,3.5999999,24.799999,8.8999996,5,18.5,19.5,7.0999999,20.1,205.10001,107,5.8000002,34.200001,59,26.1,55.5,147,.80000001,59.700001,3.2,2.5999999,13.8,76.199997,107.9,68.199997,1,1,0,0,0,3.4530306,998.30725,3.4530306
Italy,34.167,35.5,.2,68.900002,10.1,873,malto,1.5,3,24.700001,9.1000004,4.3000002,17.799999,19.4,22.4,32.799999,161.8,107,6.6999998,22.6,49.099998,12.2,40,106,.89999998,54.799999,.60000002,3,9.3999996,62,154.3,81.099998,1,1,0,0,0,3.5312603,1167.3839,3.5312603
Czech Republic,27.959,26.4,.40000001,73.400002,12.3,870,malto,1.6,2.9000001,21.1,7.1999998,4.5,24.9,19.6,13.4,14.5,67,107,10.4,1.3,59.5,7,19,154,1,148.60001,2.4000001,3.8,4,79.699997,130,100,1,1,0,0,0,3.330739,781.70569,3.330739
Greece,24.540001,34.700001,0,62.200001,10.3,865,malto,1.5,3.7,23.5,9.8000002,4.0999999,11.2,20,22.4,19,134.3,104,7.5999999,20.1,53.200001,27.299999,58.299999,111,1.7,63.400002,1.2,.89999998,8.8999996,63.200001,115,77.400002,1,1,0,0,0,3.2003045,602.21167,3.2003045
Estonia,25.132,32.700001,-.30000001,69.699997,12.5,861,malto,1.6,2.7,20.200001,5.6999998,5.1999998,27.299999,19.1,16.299999,8.8999996,71.599998,112,14,5.0999999,62,8.6000004,18.700001,238,5,171.3,3.9000001,0,16.299999,84.199997,160.7,98,1,1,0,0,0,3.2241418,631.61743,3.2241418
Slovakia,26.263,26.6,.1,54.599998,12.2,844,malto,1.4,6,19.799999,8.1999998,4.0999999,20.4,18.1,12.2,10.3,53.099998,109,6.4000001,.60000002,59.5,14.2,33.599998,187,1.4,181.39999,2.2,.60000002,2.7,80,116.9,100,1,1,0,0,0,3.2681611,689.74518,3.2681611
Poland,22.877001,32.799999,0,60.700001,11.8,843,malto,1.4,4.5,21.1,6.6999998,4.9000001,18.799999,18.1,16,13.4,65.800003,109,8.3000002,5.8000002,56.5,10.3,27.299999,217,1.2,90.300003,-.89999998,-.2,1.7,66.599998,156.5,96.5,1,1,0,0,0,3.130132,523.35718,3.130132
Lithuania,24.483,32.599998,-.5,67.400002,12.4,839,malto,1.5,4,19.1,6.1999998,5.1999998,17.4,18.700001,13.4,9,51,109,4.5,11.9,61,11.8,19.299999,329,6.6999998,155.7,1.6,-1.9,4.9000001,72.099998,147,100,1,1,0,0,0,3.197979,599.4173,3.197979
Chile,21.714001,50.799999,.89999998,89.800003,9.8000002,832,malto,1.8,7.0999999,23.6,7.6999998,4.5999999,23.6,12.4,19,30.4,115.5,108,4.5999999,6.8000002,61.799999,6.4000001,16.1,266,3.0999999,65.5,7.3000002,.30000001,2.3,72.400002,133.3,74.5,1,1,0,0,0,3.0779572,471.49783,3.0779572
Hungary,22.914,28.9,-.2,70.900002,11.6,828,malto,1.4,5.1999998,19.9,8,4.6999998,19.9,19.9,22.9,15.9,64.699997,112,4.9000001,12.9,51.900002,10.2,27.200001,186,1.3,169.89999,-3.2,1.5,4.6999998,76.099998,118.1,91.400002,1,1,0,0,0,3.131748,525.05139,3.131748
Latvia,21.825001,36,-.60000002,67.699997,11.5,819,malto,1.6,7.4000001,19.1,5.6999998,4.9000001,22.200001,15.5,13.8,8.6999998,58.599998,107,3.8,6.4000001,60.599998,11.9,23.200001,304,4.6999998,121.5,2.8,-1,13.8,75.800003,124.2,100,1,1,0,0,0,3.0830562,476.33066,3.0830562
Croatia,20.063,33.599998,-.40000001,58.700001,11,818,malto,1.5,3.8,20.6,7.3000002,4.1999998,19.299999,20,19.6,7.9000001,94.099998,108,4.8000002,4.0999999,51.299999,17.299999,50,108,1.2,85.400002,1,-.89999998,17.6,68.599998,104.4,57.599998,1,1,0,0,0,2.9988773,402.52396,2.9988773
Montenegro,14.152,30.6,0,63.900002,11.2,802,malto,1.7,4.9000001,19.200001,6.5,,19.200001,19.799999,,,61,109,4.0999999,0,50,19.6,41.099998,208,2.7,103.9,10.1,-.80000001,8.1999998,61,163,52.299999,1,1,0,0,0,2.6498561,200.27911,2.6498561
Belarus,17.055,26.5,-.5,76.300003,12,798,alto,1.5,3.7,17.1,6.0999999,5.0999999,36.900002,14.2,15.1,3.5,39.900002,289,6.6999998,11.9,56,6.0999999,12.5,335,5.0999999,125.2,3.0999999,-.2,11.6,59,122.5,93.599998,2,0,1,0,0,2.8364434,290.87305,2.8364434
Russian Federation,23.563999,39.700001,-.2,74.300003,12,798,alto,1.5,8.6000004,17.5,6.5,4.0999999,21.5,19.5,15.1,1.9,48.299999,122,12.6,.1,63.700001,5.5,13.8,475,9.1999998,50.900002,3.4000001,1.5,7.6999998,70.5,155.10001,100,2,0,1,0,0,3.1597202,555.26208,3.1597202
Romania,18.200001,27.299999,-.30000001,52.900002,10.8,793,alto,1.4,10.5,19.4,5.3000002,3.0999999,23.5,6.1999998,18.799999,18.4,52,114,4.1999998,4,56.5,7.3000002,23.6,155,1.7,84.5,2.2,-.40000001,.89999998,54.099998,105.9,98,2,0,1,0,0,2.9014215,331.24002,2.9014215
Uruguay,18.966,41.299999,.30000001,92.800003,8.5,793,alto,2.0999999,9.5,21.799999,8.8000002,4.4000001,22.9,13.8,19.299999,18.4,36.299999,127,2.3,99.300003,65.699997,6.4000001,19.200001,281,7.9000001,51.299999,5,-1.8,2.2,61.5,160.8,68.199997,2,0,1,0,0,2.9426479,359.70914,2.9426479
Kazakhstan,22.466999,28.6,1,53.299999,11.4,788,alto,2.4000001,14.6,16.5,4.3000002,3.0999999,21.200001,10.3,,,39.099998,121,15.8,-3.5999999,72.5,5.1999998,3.9000001,295,7.8000002,64.900002,4.1999998,0,21.1,54.900002,168.60001,95.900002,2,0,1,0,0,3.1120474,504.76605,3.1120474
Bulgaria,15.695,34.299999,-.80000001,74.800003,10.6,782,alto,1.5,10.1,18.799999,7.5999999,3.8,21.299999,16.5,19,14.6,71.099998,108,6.6999998,23.700001,53.299999,12.9,28.4,151,1.9,137.39999,3.5,-1.4,1.2,55.5,137.7,96.900002,2,0,1,0,0,2.7533422,246.33301,2.7533422
Panama,18.792999,51.900002,1.6,77,9.3000002,780,alto,2.5,15.4,23.9,7.1999998,3.3,26.5,10,,,67.599998,116,2.5999999,-14.9,65.5,4.0999999,10.8,411,17.200001,154.8,11.8,1.5,4.0999999,44.900002,158.10001,37.299999,2,0,1,0,0,2.9334843,353.17682,2.9334843
Malaysia,22.589001,46.200001,1.6,74.800003,10,779,alto,2,7.1999998,19,4,5.9000001,26.9,13.6,16.1,52,142.60001,107,7.8000002,-9.3999996,59.400002,3,10.4,132,2.3,154.10001,3.7,3.0999999,8.3000002,67.5,148.8,19.799999,2,0,1,0,0,3.1174631,510.26294,3.1174631
Mauritius,16.648001,35.900002,.40000001,41.799999,8.5,777,alto,1.5,12.5,19.299999,4.8000002,3.7,21.200001,14.4,19,17.9,122.4,115,3.0999999,-9.6999998,58.599998,7.5999999,23.200001,202,2.8,120.8,2.2,0,3.5999999,41.400002,132.3,100,2,0,1,0,0,2.8122902,277.15591,2.8122902
Seychelles,23.799,65.800003,.60000002,54.799999,9.3999996,772,alto,2.2,12.2,19.4,4,3.5999999,33.599998,25.6,31.200001,27.9,35.200001,115,6.8000002,0,,4.0999999,11,709,9.5,164,12.3,-3.4000001,13,54.299999,162.2,100,2,0,1,0,0,3.1696436,566.3924,3.1696436
Serbia,12.893,29.700001,-.5,57.400002,10.5,771,alto,1.4,5.8000002,18.700001,10.6,.1,21.200001,19.6,19.700001,7.5999999,49.5,128,6.8000002,21.4,52.400002,22.1,49.400002,142,1.2,92.699997,4.3000002,-2.0999999,5.5999999,53.5,122.1,46.099998,2,0,1,0,0,2.5566845,166.22945,2.5566845
Costa Rica,13.431,48.599998,1.4,66,8.3999996,766,alto,1.8,8.3999996,23.799999,9.8999996,6.9000001,21,17.9,13.6,15.1,56.5,115,1.7,3.4000001,63,8.5,21.799999,314,8.5,73.900002,6.5,2.7,8.6000004,49.400002,143.8,55.799999,2,0,1,0,0,2.5975654,180.39175,2.5975654
Iran (Islamic Republic of),15.09,38.299999,1.3,69.5,8.1999998,766,alto,1.9,14.4,19.9,6.6999998,3.7,25.799999,11.2,8.3999996,19.299999,18,214,7.8000002,0,45.099998,10.4,28.700001,284,4.0999999,53.700001,.80000001,-.80000001,3.4000001,39.400002,87.800003,26.4,2,0,1,0,0,2.7140322,227.7081,2.7140322
Venezuela (Bolivarian Republic of),17.615,44.799999,1.5,94.099998,8.8999996,762,alto,2.4000001,12.9,21.1,3.4000001,6.9000001,20.299999,12.2,15.5,21.5,52.5,215,6.4000001,-12.2,65.099998,7.8000002,17.1,161,53.700001,50.400002,1.6,.30000001,3.9000001,57,99,59.400002,2,0,1,0,0,2.8687508,310.28821,2.8687508
Turkey,18.66,40,1.2,74.300003,7.5999999,761,alto,2.0999999,16.5,20.9,5.5999999,2.9000001,20.299999,15.1,20.4,17.6,84.300003,125,4.4000001,19.5,49.400002,9.6999998,18.700001,179,2.5999999,57.900002,1.6,.89999998,2.5,51,94.800003,88.099998,2,0,1,0,0,2.9263823,348.19559,2.9263823
Sri Lanka,9.4259996,36.400002,.80000001,15.3,10.8,757,alto,2.4000001,8.1999998,19.6,3.2,1.7,29.200001,13.1,12,16.200001,48.400002,123,.69999999,-22.1,55,4.4000001,20.1,132,3.4000001,54.5,1.4,-3,1.5,25.799999,103.2,17.1,2,0,1,0,0,2.2434719,88.849472,2.2434719
Mexico,16.291,48.099998,1.2,79,8.5,756,alto,2.2,12.5,22.700001,6.1999998,5.0999999,21,11.9,,,49.5,112,3.9000001,-8.3000002,61.599998,4.8000002,9.1999998,210,21.5,64.199997,3.3,-2,.89999998,44.400002,82.5,25.200001,2,0,1,0,0,2.7906129,265.3967,2.7906129
Brazil,14.555,52.700001,.80000001,85.400002,7.6999998,755,alto,1.8,12.3,21.799999,9.6999998,5.8000002,18.200001,22,15.4,26.5,110.1,119,2.2,-10.4,69.800003,6.6999998,15,274,25.200001,27.6,3.5999999,-.2,.30000001,57.599998,139,86.300003,2,0,1,0,0,2.6779346,211.84804,2.6779346
