rank_idh,pais,pibpercapita,coefgini,educ,crescpop,urban
1,Norway,66494.25217000001,27,12.9,.8,82.59999999999999
2,Ireland,68370.58736999999,32.8,12.7,1.2,63.4
2,Switzerland,69393.52076,32.7,13.4,.8,73.8
4,Iceland,54682.38057,26.8,12.8,.7,93.90000000000001
6,Germany,55314.35355,31.9,14.2,.5,77.40000000000001
7,Sweden,54507.80504,28.8,12.5,.7,87.7
8,Australia,48084.84207,34.4,12.7,1.3,86.09999999999999
8,Netherlands,57707.06867,28.5,12.4,.2,91.90000000000001
10,Denmark,58661.87084,28.7,12.6,.4,88
11,Finland,48511.3978,27.4,12.8,.2,85.40000000000001
13,United Kingdom,46070.64481,34.8,13.2,.6,83.7
14,Belgium,52084.59209,27.4,12.1,.5,98
16,Canada,48527.03573,33.8,13.4,.9,81.5
17,United States,63825.65748,41.4,13.4,.6,82.5
18,Austria,56196.89869,29.7,12.5,.7,58.5
19,Israel,40186.84583,39,13,1.6,92.5
19,Japan,42931.69575,32.9,12.9,-.2,91.7
22,Slovenia,38079.53399,24.2,12.5,.4,14.4
23,Korea (Republic of),43043.71057,31.6,12.7,.1,54.8
23,Luxembourg,72711.67412,34.9,12.3,2,91.2
25,Spain,40974.52408,34.7,10.3,0,80.59999999999999
26,France,47172.53748,31.6,11.5,.3,80.7
27,Czechia,38108.56662,24.9,12.7,.2,73.90000000000001
28,Malta,39554.52078,29.2,11.3,.4,94.7
29,Estonia,36019.26692,30.4,13.1,.2,69.09999999999999
29,Italy,42776.35692,35.9,10.4,0,70.7
31,United Arab Emirates,67462.0953,32.5,12.1,1.3,86.8
32,Greece,30154.63438,34.4,10.6,-.4,79.40000000000001
33,Cyprus,38206.84049,31.4,12.2,.8,66.8
34,Lithuania,35798.67041,37.3,13.1,-1.5,67.90000000000001
35,Poland,31622.55302,29.7,12.5,-.1,60
37,Latvia,30282.39353,35.6,13,-1.1,68.2
38,Portugal,33966.82756,33.8,9.300000000000001,-.3,65.8
39,Slovakia,32113.04569,25.2,12.7,.1,53.7
40,Hungary,31328.80599,30.6,12,-.2,71.59999999999999
43,Chile,23261.29726,44.4,10.6,1.2,87.59999999999999
43,Croatia,28069.84837,30.4,11.4,-.6,57.2
46,Argentina,21190.17661,41.4,10.9,1,92
48,Montenegro,21399.24713,39,11.6,0,67.2
49,Romania,29497.23164,36,11.1,-.7,54.1
51,Kazakhstan,22857.46082,27.5,11.9,1.3,57.5
52,Russian Federation,26157.04711,37.5,12.2,.1,74.59999999999999
53,Belarus,18546.48713,25.2,12.3,0,79
54,Turkey,27700.89481,41.9,8.1,1.4,75.59999999999999
55,Uruguay,20063.64222,39.7,8.9,.4,95.40000000000001
56,Bulgaria,23324.6574,40.4,11.4,-.7,75.3
57,Panama,29557.66834,49.2,10.2,1.7,68.09999999999999
61,Georgia,14428.79984,36.4,13.1,-.2,59
62,Costa Rica,18486.37141,48,8.699999999999999,1,80.09999999999999
62,Malaysia,27534.09856,41,10.4,1.3,76.59999999999999
64,Serbia,17191.66873,36.2,11.2,-.3,56.3
66,Mauritius,25266.21195,36.8,9.5,.2,40.8
67,Seychelles,26903.24617,46.8,10,.7,57.1
69,Albania,13998.29989,33.2,10.1,-.1,61.2
70,Iran (Islamic Republic of),12446.66645,40.8,10.3,1.4,75.40000000000001
72,Sri Lanka,12707.36624,39.8,10.6,.5,18.6
73,Bosnia and Herzegovina,14871.81114,33,9.800000000000001,-.9,48.6
74,Mexico,19159.83967,45.4,8.800000000000001,1.1,80.40000000000001
74,Ukraine,13215.9357,26.1,11.4,-.5,69.5
79,Peru,12252.30018,42.8,9.699999999999999,1.6,78.09999999999999
79,Thailand,17781.19093,36.4,7.9,.3,50.7
81,Armenia,13894.01302,34.4,11.3,.3,63.2
82,North Macedonia,15864.63074,34.2,9.800000000000001,0,58.2
83,Colombia,14256.67085,50.4,8.5,1.4,81.09999999999999
84,Brazil,14262.93459,53.9,8,.8,86.8
85,China,16057.39642,38.5,8.1,.5,60.3
86,Ecuador,11043.98255,45.4,8.9,1.7,64
86,Saint Lucia,14615.56978,51.2,8.5,.5,18.8
88,Dominican Republic,17591.06522,43.7,8.1,1.1,81.8
90,Moldova (Republic of),13663.60669,25.7,11.7,-.2,42.7
91,Algeria,11173.95681,27.6,8,2,73.2
92,Lebanon,14654.53395,31.8,8.699999999999999,.9,88.8
93,Fiji,13009.07311,36.7,10.9,.6,56.8
95,Maldives,17416.77777,31.3,7,3.4,40.2
95,Tunisia,10414.06361,32.8,7.2,1.1,69.3
99,Mongolia,10838.6743,32.7,10.3,1.8,68.5
100,Botswana,16437.14142,53.3,9.6,2.1,70.2
102,Jordan,9858.487276,33.7,10.5,1.9,91.2
103,Paraguay,12223.94045,46.2,8.5,1.3,61.9
104,Tonga,6364.577962,37.6,11.2,1,23.1
107,Bolivia (Plurinational State of),8553.783786,42.2,9,1.4,69.8
107,Indonesia,11459.09692,39,8.199999999999999,1.1,56
107,Philippines,9777.798117,44.4,9.4,1.4,47.1
111,Samoa,6308.652491,38.7,10.8,.5,18.1
114,South Africa,12129.23006,63,10.2,1.4,66.90000000000001
115,"Palestine, State of",6417.389121,33.7,9.199999999999999,2.4,76.40000000000001
116,Egypt,11466.14512,31.5,7.4,2,42.7
117,Viet Nam,7432.706806,35.7,8.300000000000001,1,36.6
119,Gabon,13929.80613,38,8.699999999999999,2.7,89.7
120,Kyrgyzstan,4864.390351,27.7,11.1,1.8,36.6
121,Morocco,7368.360268,39.5,5.6,1.3,63
123,Iraq,10800.83898,29.5,7.3,2.5,70.7
124,El Salvador,8359.115143999999,38.6,6.9,.5,72.7
125,Tajikistan,3953.598166,34,10.7,2.4,27.3
126,Cabo Verde,7019.168144,42.4,6.3,1.2,66.2
127,Guatemala,8494.085111,48.3,6.6,1.9,51.4
128,Nicaragua,5283.658869,46.2,6.9,1.3,58.8
129,Bhutan,10745.84396,37.4,4.1,1.2,41.6
130,Namibia,9356.673607000001,59.1,7,1.9,51
131,India,6681.346904,37.8,6.5,1,34.5
132,Honduras,5308.452598,52.1,6.6,1.7,57.7
133,Bangladesh,4976.209148,32.4,6.2,1.1,37.4
135,Sao Tome and Principe,3952.072482,56.3,6.4,1.9,73.59999999999999
136,Micronesia (Federated States of),3982.736516,40.1,7.8,1.1,22.8
137,Lao People's Democratic Republic,7413.33163,36.4,5.3,1.5,35.6
138,Eswatini (Kingdom of),7919.058294,54.6,6.9,1,24
138,Ghana,5268.919684,43.5,7.3,2.2,56.7
140,Vanuatu,3104.799016,37.6,7.1,2.5,25.4
141,Timor-Leste,4440.457586,28.7,4.8,1.9,30.9
142,Nepal,3456.706213,32.8,5,1.5,20.2
143,Kenya,4243.62556,40.8,6.6,2.3,27.5
146,Zambia,3325.518591,57.1,7.2,2.9,44.1
147,Myanmar,4960.528169,30.7,5,.6,30.9
148,Angola,6104.05464,51.3,5.2,3.3,66.2
149,Congo,2879.190985,48.9,6.5,2.6,67.40000000000001
150,Zimbabwe,2665.612042,44.3,8.5,1.5,32.2
151,Solomon Islands,2253.346153,37.1,5.7,2.6,24.2
153,Cameroon,3580.902737,46.6,6.3,2.6,57
154,Pakistan,5005.034893,33.5,5.2,2,36.9
155,Papua New Guinea,4301.098542,41.9,4.7,2,13.2
156,Comoros,3099.445776,45.3,5.1,2.2,29.2
157,Mauritania,5134.570124,32.6,4.7,2.8,54.5
158,Benin,3254.245627,47.8,3.8,2.7,47.9
159,Uganda,2123.26935,42.8,6.2,3.6,24.4
160,Rwanda,2155.334054,43.7,4.4,2.6,17.3
161,Nigeria,4910.208257,43,6.7,2.6,51.2
162,Côte d'Ivoire,5068.606313,41.5,5.3,2.5,51.2
163,Tanzania (United Republic of),2599.847211,40.5,6.1,3,34.5
164,Madagascar,1596.28108,42.6,6.1,2.7,37.9
165,Lesotho,3150.620131,44.9,6.5,.8,28.6
166,Djibouti,5689.348966,41.6,4.1,1.6,77.90000000000001
167,Togo,1602.34934,43.1,4.9,2.5,42.2
168,Senegal,3309.385734,40.3,3.2,2.8,47.7
170,Haiti,1708.809043,41.1,5.6,1.3,56.2
170,Sudan,3828.660219,34.2,3.8,2.4,34.9
172,Gambia,2167.883472,35.9,3.9,2.9,61.9
173,Ethiopia,2206.534378,35,2.9,2.6,21.2
174,Malawi,1034.677638,44.7,4.7,2.7,17.2
175,Congo (Democratic Republic of the),1062.543004,42.1,6.8,3.2,45
175,Guinea-Bissau,1996.042927,50.7,3.6,2.5,43.8
175,Liberia,1258.410853,35.3,4.8,2.5,51.6
178,Guinea,2405.181497,33.7,2.8,2.8,36.5
179,Yemen,1593.704031,36.7,3.2,2.4,37.3
181,Mozambique,1250.405688,54,3.5,2.9,36.5
182,Burkina Faso,2132.95557,35.3,1.6,2.9,30
182,Sierra Leone,1667.844447,35.7,3.7,2.1,42.5
184,Mali,2268.77278,33,2.4,3,43.1
185,Burundi,753.9087475,38.6,3.3,3.1,13.4
185,South Sudan,2003.318894,46.3,4.8,.9,19.9
187,Chad,1555.373575,43.3,2.5,3,23.3
188,Central African Republic,993.0088419,56.2,4.3,1.4,41.8
