UF,idade,anosest,rendtrabprinc
11,31,12,3500
33,48,12,1500
33,31,12,1400
35,37,16,5000
35,38,12,5000
53,35,14,1300
53,43,16,20000
13,41,16,8000
33,32,16,12000
53,43,16,21000
33,31,16,10000
50,46,16,12000
53,40,16,16000
14,46,15,16000
53,34,16,12000
50,39,16,7700
33,42,16,5500
33,32,16,3500
33,29,16,8000
53,38,16,19000
24,40,16,10000
24,55,16,25000
53,40,16,16000
33,40,16,8000
33,30,12,5000
50,57,16,15000
53,30,16,10000
33,37,16,5000
14,47,12,8000
33,36,16,12000
26,47,15,18000
33,59,16,7000
53,49,12,17000
53,46,16,11000
33,34,16,11000
53,34,16,8000
33,56,12,6000
53,33,16,10500
33,36,16,8300
33,33,16,9500
33,35,16,10000
33,46,16,20000
33,40,16,8000
50,49,16,17000
53,45,16,20000
13,29,16,6500
33,28,16,11000
41,50,16,14000
33,57,16,20000
33,43,16,16000
53,41,16,10000
14,42,16,16000
33,51,16,8000
33,39,16,8000
53,45,16,18000
53,52,16,19000
53,33,16,10000
14,32,16,4500
53,49,12,9000
33,26,12,3200
29,57,12,5000
14,41,16,5000
16,37,16,6000
33,51,12,5500
53,45,16,12000
13,26,16,1700
33,28,12,2800
22,44,16,10000
50,52,15,13000
33,39,12,1100
11,25,12,5000
53,45,13,10000
53,33,16,5000
53,25,12,2500
53,36,15,3500
16,44,16,4400
14,26,12,3800
33,26,12,1500
22,51,12,4500
53,47,13,6000
22,48,12,4000
53,41,16,4000
53,35,16,6000
53,52,16,6100
33,48,12,10000
14,25,14,3200
33,43,16,7000
53,42,15,5500
33,30,15,5000
53,48,16,7000
22,33,16,8000
33,27,12,3500
25,37,12,8500
53,42,16,12000
33,33,14,7000
13,26,16,1600
24,47,16,5200
53,41,14,9500
33,53,12,4500
33,29,13,5000
53,26,16,3500
53,45,16,6000
26,25,14,2500
33,39,16,9000
53,34,16,5000
33,35,14,4000
53,44,16,19000
15,35,12,7000
24,27,13,1700
33,28,12,1800
33,38,15,3300
53,27,12,2100
53,37,16,5500
24,33,15,5000
53,42,16,9500
53,25,12,1500
53,37,15,8088
53,33,16,6500
53,50,16,4500
17,30,12,2300
33,38,16,5000
13,38,12,4000
33,34,16,5967
53,51,8,8000
15,37,14,4500
53,31,16,3000
33,44,15,13000
33,34,13,3300
33,25,12,3000
33,50,16,9000
33,34,14,4400
53,41,16,9000
53,29,16,4500
33,45,16,6500
33,32,16,5000
33,56,12,5500
33,57,9,7500
53,49,14,9500
33,43,16,6000
53,35,13,4500
33,40,15,8000
33,32,15,10000
33,29,15,5000
14,40,16,7000
33,26,13,3000
33,30,12,3500
35,26,12,3584
53,51,12,4000
33,28,13,1500
33,43,16,8245
33,34,13,6000
33,40,12,3500
33,41,12,5400
33,36,12,1300
33,42,16,3000
26,32,14,2300
33,46,13,7000
33,37,12,4800
50,38,16,9000
33,29,16,4400
14,46,14,7000
33,31,16,5000
21,33,12,4400
53,36,16,7700
53,33,16,6000
53,28,16,5000
33,27,16,6000
43,51,14,5000
33,34,12,5000
14,28,14,5500
43,49,12,7900
43,44,12,7000
33,39,12,6000
53,33,16,4500
50,51,12,7000
33,52,16,10000
33,47,16,4500
33,59,16,2000
53,47,12,3300
53,25,14,1900
41,38,15,8000
41,34,16,5000
53,34,16,8500
53,48,13,12000
33,39,12,6000
33,42,15,10000
53,47,12,6000
53,35,13,3200
53,36,16,9500
33,41,12,5400
53,36,12,4400
53,25,12,2100
50,36,12,3300
53,46,16,8000
33,25,12,2000
33,33,12,5000
33,33,12,4500
53,51,16,5000
33,46,16,9000
53,28,15,2000
12,33,16,6770
12,41,16,7000
41,32,12,4000
14,28,16,3000
33,40,12,5000
16,53,14,20000
52,49,12,7000
31,58,16,7000
53,33,16,6500
53,51,15,10000
28,49,15,15000
42,43,16,24000
43,34,12,7000
27,51,16,2000
12,33,16,12000
35,45,14,6000
11,48,12,5000
27,29,13,7000
35,25,13,4000
33,45,16,10000
13,42,16,7000
14,42,16,4400
23,40,16,4500
14,43,16,7000
33,41,16,6800
21,25,15,5600
50,25,16,3000
14,30,12,1100
21,28,16,5200
16,46,16,14000
13,36,12,9400
12,58,16,2800
